Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Effective,CTD Interest Accrual Date,CTD Maturity,CTD Coupon Frequency,CTD Day Count,CTD Coupon,Futures Expiry Month/Year,CTD Price
15-Aug-2013,0.7812,EI767213,CNU13,129.46,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.358
16-Aug-2013,0.7812,EI767213,CNU13,128.93,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.05
19-Aug-2013,0.7812,EI767213,CNU13,128.58,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.753
20-Aug-2013,0.7812,EI767213,CNU13,129.3,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.261
21-Aug-2013,0.7812,EI767213,CNU13,128.94,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.704
22-Aug-2013,0.7812,EI767213,CNU13,128.65,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.805
23-Aug-2013,0.7812,EI767213,CNU13,129.28,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.208
26-Aug-2013,0.7812,EI767213,CNU13,129.66,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.549
27-Aug-2013,0.7812,EI767213,CNU13,130.52,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.229
28-Aug-2013,0.7812,EI767213,CNU13,129.96,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.76
29-Aug-2013,0.7812,EI767213,CNU13,130.32,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.9
30-Aug-2013,0.7812,EI767213,CNU13,130.23,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.817
3-Sep-2013,0.7812,EI767213,CNU13,129.53,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.322
4-Sep-2013,0.7812,EI767213,CNU13,129.19,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.006
5-Sep-2013,0.7812,EI767213,CNU13,128.4,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.343
6-Sep-2013,0.7812,EI767213,CNU13,128.68,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.608
9-Sep-2013,0.7812,EI767213,CNU13,128.92,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.792
10-Sep-2013,0.7812,EI767213,CNU13,128.3,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.235
11-Sep-2013,0.7812,EI767213,CNU13,128.51,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.5
